artistID,artistName
A20682,"""Weird Al"" Yankovic"
A85906,Aaron G. Wilkinson
A02786,Adam Clayton
A34065,Adam Lambert
A92574,Adrienne Knolff
A84501,AJ Perrelli
A06712,Alan Curtis
A25495,Alan Merrill
A99711,Alberto Slezynger
A65013,Alec Timerman
A04980,Alex Briley
A73623,Alex Burke
A72327,Alex Call
A95843,Alexander Mathias
A23957,Alonzo Miller
A49360,Alphonso Mizell
A32396,Amanda Kramer
A05356,Amy Lee
A48984,Andreas Carlsson
A15007,Andrew Ridgeley
A96526,Andy Summers
A04652,Andy Taylor
A64962,Andy Wickett
A10268,Annie Lennox
A95814,Arthur Baker
A53842,Artis Ivey Jr.
A53034,Avril Lavigne
A57021,B. Nail
A56415,Barry Mitchell
A94814,Belinda Carlisle
A67283,Ben Moody
A22766,"Berry Gordy, Jr."
A11232,Berton Averre
A38152,Bill Gibson
A78076,Bill Uechi
A61070,Bill Whitefield
A22876,Billy Adams
A24855,Billy Idol
A37812,Billy Joel
A43715,Blue Saraceno
A40051,Bo Gentry
A46132,Bob Mayo
A88887,Bob West
A74180,"Bobby ""Tango"" Gibb"
A14737,Bobby Dall
A68942,Bobby Kimball
A84081,Boy George
A13210,Brad Fiedel
A18684,Brandon Dickert
A57063,Bret Michaels
A84997,Brian Dunne
A73177,Brian Holland
A00351,Brian Mashburn
A80984,Brian May
A87734,Bryan Adams
A58856,Bryan Holland
A44085,C. C. DeVille
A62998,C. Caffey
A37512,Caleb Quaye
A71012,Carlene Carter
A10819,Carole Bayer Sager
A94820,Chad Wackerman
A64339,Charles Brown
A48241,Charles DeChant
A86816,Charlotte Caffey
A89466,Chris Hayes
A72445,Chris Hughes
A88176,Chris Jasper
A07719,Chris Spedding
A75517,Christian Carlos Warren
A37524,Christopher Ballew
A50792,Christopher Hayes
A51422,Christopher Wallace
A54058,Clarence Drayton
A21442,Clifton Davis
A22258,Colin Bayley
A19012,Colin Hay
A04674,Connor McElwain
A73074,Cornell haynes Jr.
A41674,Curt Smith
A66935,Curtis Mayfield
A93601,Cyndi Lauper
A12872,Danny B. Harvey
A15933,Danny Luna
A55714,Danny Miranda
A78888,Danny Styles
A19090,Daryl Hall
A42607,Daryl Stuermer
A83360,Dave Forrest
A54110,David A. Stewart
A92911,David Evans
A21222,David Foster
A55167,David Grohl
A19599,David Hodges
A10570,David Hodo
A54362,David Hungate
A44006,David Kent
A85240,David Paich
A89812,David Pirner
A69056,David Porter
A91386,Dean Parks
A81062,Deke Richards
A88950,Denise Thurlow
A83228,Dennis Frederiksen
A05310,"Denny Weston, Jr."
A77926,Deric Angelettie
A81967,Diane Warren
A95117,Dick Spatsley
A77170,Dino Fekaris
A90080,Dominic Brown
A27624,Don Black
A37608,Don Fenceton
A18767,Don Fletcher
A37877,Donald Fletcher
A44862,Donald McLean III
A88360,Donald Storball
A15760,Doug Fieger
A62249,Doug Johnson
A28708,Doug Rasheed
A88622,Dough Ewood Bogie
A84004,Duncan Kilburn
A18379,Eddie Holland
A53887,Eddie Zyne
A32594,Edward Heyman
