bandID,bandName
B36190,"""Weird Al"" Yankovic"
B61967,Billy Idol
B05921,Culture Club
B53513,Cyndi Lauper
B39945,Duran Duran
B78730,Europe
B25807,Eurythmics
B57698,Evanescence
B75381,Gloria Gaynor
B87963,Hall and Oates
B78243,Huey Lewis and the News
B67107,Loverboy
B87010,Men at Work
B43480,Michael Jackson
B24019,Phil Collins
B60704,Poison
B97748,Queen
B35122,Rick Astley
B96605,Save Ferris
B39016,Tears for Fears
B49843,The Go-Go's
B07436,The Jackson 5
B48954,The Police
B86189,The Psychedelic Furs
B58851,Toto
B25370,Village People
B02950,Wham!
