songID,songName,songYearReleased,songGenre,songLength
S00081,Trash Day,2003,Comedy,03:12
S00502,Buckingham Blues,1983,Comedy,03:13
S00617,The Reflex,1983,Rock,05:29
S00659,It Goes On,1981,Rock,03:52
S00706,Cable TV,1985,Comedy,03:38
S01334,I Want Action,1986,Rock,03:05
S01370,Nobody But Me,1997,Rock,03:05
S01397,Lithium,2006,Rock,03:44
S02375,My Baby's in Love with Eddie Vedder,1999,Comedy,03:25
S02555,So Little Kindess,1996,Rock,04:14
S02715,The Girl Is Mine,1982,Pop,03:43
S03214,Every Rose Has Its Thorn,1988,Rock,04:17
S03520,I Take the Dice,1983,Rock,03:18
S04073,Melanie,1988,Comedy,03:58
S04320,Princes of the Universe,1986,Rock,03:32
S04333,Look but You Can't Touch,1988,Rock,03:25
S04729,Danger on the Track,1986,Rock,03:45
S04908,The World Is New,1996,Rock,02:11
S04992,George of the Jungle,1985,Comedy,01:05
S05058,Pretty Fly for a Rabbi,1999,Comedy,03:02
S05184,Stuck in a Closet with Vanna White,1988,Comedy,04:58
S05523,Off the Wall,1980,Pop,04:05
S06352,Billie Jean,1982,Pop,04:54
S06362,Oceans,2011,Rock,03:38
S06962,Make Believe,1982,Rock,03:43
S07020,Talk Dirty to Me,1986,Rock,03:44
S07570,Get Up and Go,1990,Rock,03:17
S07744,I Remember Larry,1996,Comedy,03:56
S07792,Like a Baby,1984,Pop,04:12
S07833,Bank on Your Love,1984,Pop,04:18
S07839,The Life of the Party,1995,Pop,02:34
S07990,What You See Is What You Get,1999,Rock,03:18
S08562,Wanna Be Startin' Somethin',1982,Pop,06:04
S08921,Our Lips Are Sealed,1990,Rock,02:44
S09196,Sugar Daddy,1995,Pop,02:32
S09421,Girls Just Want to Have Lunch,1985,Comedy,02:48
S09479,Strange Days of Uncle Jack,1990,Rock,01:40
S09731,One More Night,1985,Pop,04:47
S09844,I Want a New Duck,1985,Comedy,03:04
S10338,In Hollywood (Everybody is a Star),1994,Pop,04:53
S10562,I Can't Watch This,1992,Comedy,03:31
S10650,Mothers Talk,1985,Rock,05:09
S10692,Out of Touch,1984,Pop,04:21
S11230,Ricky,1983,Comedy,02:36
S11622,Credit Card Baby,1984,Pop,05:08
S11939,Valley of Lost Souls,1990,Rock,03:58
S11946,I'll Be There,1995,Pop,03:57
S12457,Thriller,1982,Pop,05:58
S12698,I Won't Hold You Back,1982,Rock,04:53
S12833,Helpless Automaton,1981,Rock,03:23
S13007,Y.M.C.A.,1994,Pop,04:46
S13300,Call Me When You're Sober,2006,Rock,03:34
S13397,Why Does This Always Happen to Me,2003,Comedy,04:52
S13610,Tea in the Sahara,1983,Rock,04:11
S13635,(Flesh & Blood) Sacrifice,1990,Rock,04:40
S14245,Sick,2011,Rock,03:30
S14425,Girls Just Want to Have Fun,1983,Pop,03:51
S14636,It's All About the Pentiums,1999,Comedy,03:34
S15220,Tearin' Down the Walls,1988,Rock,03:50
S15301,Everything She Wants,1984,Pop,05:01
S15377,Imaginary,2003,Rock,04:16
S15402,Girls on Film,1981,Rock,03:32
S16220,We Got the Beat,1990,Rock,02:30
S16309,One More Minute,1985,Comedy,04:04
S16537,The Lady in My Life,1982,Pop,04:59
S16805,Victims,1983,Rock,04:55
S17179,Wrap It Up,1983,Pop,03:33
S17360,Get on the Floor,1979,Pop,04:39
S17687,Off the Wall,1979,Pop,04:06
S17782,Wake Me Up Before You Go-Go,1984,Pop,03:50
S18121,Pretty in Pink,1981,Rock,03:59
S18182,The Alternative Polka,1996,Comedy,04:50
S18580,To the Shore,1981,Rock,03:51
S18765,Human Nature,1982,Pop,04:07
S18945,When It's Over,1981,Rock,05:08
S18968,People Just Love to Play with Words,1981,Rock,03:33
S19254,Mr. Jones,1981,Rock,04:03
S20286,Africa,1982,Rock,04:55
S20742,Superspy,1996,Rock,02:46
S20881,I Could Give You (A Mirror),1983,Pop,03:51
S20894,"Want Some, Need Some",1986,Rock,03:39
S21303,It's Your Life,1981,Rock,04:05
S21880,San Francisco (You've Got Me),1994,Pop,05:19
S22384,Angry White Boy Polka,2003,Comedy,05:04
S22524,Get It Together,1995,Pop,02:48
S22536,Shadows on Your Side,1983,Rock,04:03
S22762,Mistaken,1999,Rock,03:24
S22842,Gangs in the Street,1981,Rock,04:35
S23070,So Run Down,1981,Rock,02:51
S23197,I Will Survive,1978,Pop,03:15
S23235,Black Money,1983,Rock,05:19
S23486,The Night Santa Went Crazy,1996,Comedy,04:03
S23575,Haunted,2003,Rock,03:05
S24037,Bob,2003,Comedy,02:29
S24041,When I Fall in Love,1987,Pop,02:59
S24047,Holding On,1999,Rock,03:26
S24057,It's a Feeling,1982,Rock,03:05
S24101,Crank Call,1983,Rock,03:56
S24299,Union of the Snake,1983,Rock,04:20
S24352,Another One Rides the Bus,1983,Comedy,02:40
S24467,It Would Take a Strong Strong Man,1987,Pop,03:39
S24720,Carrie,1986,Rock,04:30
S24856,Stuck with You,1996,Rock,04:26
S24869,Baby Be Mine,1982,Pop,04:21
S25014,The Love You Save,1995,Pop,03:04
S25302,Angry Situation,1999,Rock,03:38
S25619,It's So Cruel,1982,Rock,05:20
S25858,Couch Potato,2003,Comedy,04:18
S26063,Take Me Home,1985,Pop,05:51
S26443,Key West,1994,Pop,05:44
S26696,Polka Your Eyes Out,1992,Comedy,03:50
S26713,100 Years from Now,1996,Rock,03:46
S26772,Shout,1985,Rock,06:32
S27354,(Do Not) Stand in the Shadows,1983,Rock,03:10
S27419,Girlfriend,1979,Pop,03:06
S27472,P.Y.T. (Pretty Young Thing),1982,Pop,03:58
S27568,Everything You Know Is Wrong,1996,Comedy,03:48
S27666,The Other Side,2011,Rock,04:05
S27750,Love Calling,1982,Rock,04:48
S27988,Ride the Wind,1990,Rock,03:50
S28510,Sound of Thunder,1981,Rock,04:07
S28514,Head Over Heels,1990,Rock,03:36
S28527,Germs,1999,Comedy,04:38
S28581,Under 21,1996,Rock,02:40
S28777,Of Crime and Passion,1983,Rock,03:50
S28962,Turn to You,1990,Rock,03:50
S29147,Never Can Say Goodbye,1995,Pop,03:00
S29161,Gimme the Prize (Kurgan's Theme),1986,Rock,04:34
S29701,Careless Memories,1981,Rock,03:55
S29774,Billie Jean,1983,Pop,04:54
S30102,Your Friend,1999,Rock,03:42
S30382,Snow White Queen,2006,Rock,04:22
S30399,It's Your Thing,1995,Pop,03:41
S31005,One Vision,1986,Rock,05:10
S31195,"Congo Man (Reprise of ""Love Calling"")",1982,Rock,01:08
S31251,Never Gonna Give You Up,1987,Pop,03:32
S31370,Daytime Drama,1983,Rock,04:02
S31415,Catch My Fall,1983,Rock,03:57
S31477,Beat It,1982,Pop,04:18
S31670,Velvet Elvis,1988,Comedy,04:30
S32035,Good Love,1988,Rock,02:51
S32093,Like You,2006,Rock,04:16
S32216,Mercenary,1990,Rock,03:35
S32550,Beat It,1983,Rock,04:18
S33189,Fat,1988,Comedy,03:37
S33216,Jennifer,1983,Pop,05:06
S33301,Inside out,1985,Pop,05:14
S33463,#1 Bad Boy,1986,Rock,03:14
S33469,Don't Give Up an Inch,1990,Rock,03:43
S33589,Your Horoscope for Today,1999,Comedy,03:59
S33651,My Last Breath,2003,Rock,04:07
S34259,"Come On, Come On",1982,Rock,04:00
S34501,Dumb Waiters,1981,Rock,05:09
S34811,The Weird Al Show Theme,1999,Comedy,01:14
S34924,Lookin' Through the Windows,1995,Pop,03:38
S35040,The Final Countdown,1986,Rock,05:12
S35045,Mama's Pearl,1995,Pop,03:12
S35200,Ninja,1986,Rock,03:46
S35285,It's Alright,1996,Rock,03:04
S35393,"Go West (12"" Version)",1994,Pop,06:53
S35790,Spam,1997,Rock,02:28
S36366,Only You Know and I Know,1985,Pop,04:20
S36508,ABC,1995,Pop,02:58
S36518,Dance on Your Knees,1984,Pop,01:27
S36671,No Love,1999,Rock,04:48
S36770,Hole in the Wall,1982,Rock,04:14
S36923,I Want You Back,1995,Pop,02:58
S37155,Lucky Ones,1981,Rock,03:51
S37462,The Only One,2006,Rock,04:40
S37631,Never Go Back,2011,Rock,04:27
S37809,It's Your Thing (The J5 in '95 Extended Remix),1995,Pop,05:57
S38101,Ball and Chain,1990,Rock,04:22
S38732,Let Me Go to the Show,1986,Rock,02:45
S38783,Who's Lovin' You,1995,Pop,04:01
S39295,I Wanna Be Where You Are,1995,Pop,02:57
S39507,Working for the Weekend,1981,Rock,03:42
S39524,The Walk,1983,Pop,04:40
S39691,Whisper,2003,Rock,05:27
S39981,Pain Is So Close to Pleasure,1986,Rock,04:21
S40052,Vacation,1990,Rock,03:00
S40133,Come on Eileen,1997,Rock,04:11
S40268,Some Things Are Better Left Unsaid,1984,Pop,05:26
S40510,Planet Earth,1981,Rock,04:03
S40643,Nothin' but a Good Time,1988,Rock,03:43
S41330,Sweet Sacrifice,2006,Rock,03:05
S41506,Bad to Be Good,1988,Rock,04:03
